operation	card_status	pan_format	expiry	bin	amount
delete	ACTIVE	invalid_luhn	valid_future	invalid_999999	within_balance
create	BLOCKED	valid_luhn	expired	valid_400000	within_balance
create	EXPIRED	valid_luhn	valid_future	invalid_999999	within_balance
delete	BLOCKED	invalid_luhn	valid_future	valid_400000	within_balance
generate	INACTIVE	invalid_luhn	expired	invalid_999999	within_balance
create	ACTIVE	valid_luhn	expired	valid_400000	within_balance
generate	BLOCKED	valid_luhn	valid_future	valid_400000	within_balance
reserve	ACTIVE	invalid_luhn	expired	invalid_999999	zero
read	ACTIVE	valid_luhn	valid_future	valid_400000	within_balance
update	INACTIVE	valid_luhn	valid_future	valid_400000	within_balance
read	INACTIVE	invalid_luhn	expired	invalid_999999	within_balance
delete	EXPIRED	valid_luhn	expired	valid_400000	within_balance
update	EXPIRED	invalid_luhn	expired	invalid_999999	within_balance
delete	INACTIVE	valid_luhn	expired	valid_400000	within_balance
generate	EXPIRED	valid_luhn	valid_future	valid_400000	within_balance
generate	ACTIVE	valid_luhn	expired	invalid_999999	within_balance
create	INACTIVE	valid_luhn	expired	valid_400000	within_balance
read	BLOCKED	valid_luhn	valid_future	invalid_999999	within_balance
reserve	ACTIVE	valid_luhn	expired	valid_400000	exceeds_balance
read	EXPIRED	valid_luhn	expired	valid_400000	within_balance
reserve	ACTIVE	valid_luhn	valid_future	valid_400000	zero
update	BLOCKED	invalid_luhn	valid_future	valid_400000	within_balance
reserve	ACTIVE	invalid_luhn	expired	invalid_999999	within_balance
reserve	ACTIVE	invalid_luhn	valid_future	invalid_999999	exceeds_balance
update	ACTIVE	valid_luhn	expired	invalid_999999	within_balance
